age,frailty
85.1506009615385,0.81965359375
85.2506009615385,0.82108359375
85.3506009615385,0.82251359375
85.4506009615385,0.82394359375
85.5506009615385,0.82537359375
85.6506009615385,0.82680359375
85.7506009615385,0.82823359375
85.8506009615385,0.82966359375
85.9506009615385,0.83109359375
86.0506009615385,0.83252359375
86.1506009615385,0.83395359375
86.2506009615385,0.83538359375
86.3506009615385,0.83681359375
86.4506009615385,0.83824359375
86.5506009615385,0.83967359375
86.6506009615385,0.84110359375
86.7506009615385,0.84253359375
86.8506009615385,0.84396359375
86.9506009615385,0.84539359375
87.0506009615385,0.84682359375
87.1506009615385,0.84825359375
87.2506009615385,0.84968359375
87.3506009615385,0.85111359375
87.4506009615385,0.85254359375
87.5506009615385,0.85397359375
87.6506009615385,0.85540359375
87.7506009615385,0.85683359375
87.8506009615385,0.85826359375
87.9506009615385,0.85969359375
88.0506009615385,0.86112359375
88.1506009615385,0.86255359375
88.2506009615385,0.86398359375
88.3506009615385,0.86541359375
88.4506009615385,0.86684359375
88.5506009615385,0.86827359375
88.6506009615385,0.86970359375
88.7506009615385,0.87113359375
88.8506009615385,0.87256359375
88.9506009615385,0.87399359375
89.0506009615385,0.87542359375
89.1506009615385,0.87685359375
89.2506009615385,0.87828359375
89.3506009615385,0.87971359375
89.4506009615385,0.88114359375
89.5506009615385,0.88257359375
89.6506009615385,0.88400359375
89.7506009615385,0.88543359375
89.8506009615385,0.88686359375
89.9506009615385,0.88829359375
90.0506009615385,0.88972359375
90.1506009615385,0.89115359375
90.2506009615385,0.89258359375
90.3506009615385,0.89401359375
90.4506009615385,0.89544359375
90.5506009615385,0.89687359375
90.6506009615385,0.89830359375
90.7506009615385,0.89973359375
90.8506009615385,0.90116359375
90.9506009615385,0.90259359375
91.0506009615385,0.90402359375
91.1506009615385,0.90545359375
91.2506009615385,0.90688359375
91.3506009615385,0.90831359375
91.4506009615385,0.90974359375
91.5506009615385,0.91117359375
91.6506009615385,0.91260359375
91.7506009615385,0.91403359375
91.8506009615385,0.91546359375
91.9506009615385,0.91689359375
92.0506009615385,0.91832359375
92.1506009615385,0.91975359375
92.2506009615385,0.92118359375
92.3506009615385,0.92261359375
92.4506009615385,0.92404359375
92.5506009615385,0.92547359375
92.6506009615385,0.92690359375
92.7506009615385,0.92833359375
92.8506009615385,0.92976359375
92.9506009615385,0.93119359375
93.0506009615385,0.93262359375
93.1506009615385,0.93405359375
93.2506009615385,0.93548359375
93.3506009615385,0.93691359375
93.4506009615385,0.93834359375
93.5506009615385,0.93977359375
93.6506009615385,0.94120359375
93.7506009615385,0.94263359375
93.8506009615385,0.94406359375
93.9506009615385,0.94549359375
94.0506009615385,0.94692359375
94.1506009615385,0.94835359375
94.2506009615385,0.94978359375
94.3506009615385,0.95121359375
94.4506009615385,0.95264359375
94.5506009615385,0.95407359375
94.6506009615385,0.95550359375
94.7506009615385,0.95693359375
94.8506009615385,0.95836359375
94.9506009615385,0.95979359375
95.0506009615385,0.96122359375
95.1506009615385,0.96265359375
95.2506009615385,0.96408359375
95.3506009615385,0.96551359375
95.4506009615385,0.96694359375
95.5506009615385,0.96837359375
95.6506009615385,0.96980359375
95.7506009615385,0.97123359375
95.8506009615385,0.97266359375
95.9506009615385,0.97409359375
96.0506009615385,0.97552359375
96.1506009615385,0.97695359375
96.2506009615385,0.97838359375
96.3506009615385,0.97981359375
96.4506009615385,0.98124359375
